snapshot,CCGT,OCGT,biomass,coal,geothermal,lignite,nuclear,offwind-ac,offwind-dc,offwind-float,oil,onwind,ror,solar,solar-hsat
2019-04-04 18:00:00,20201.481605825644,0.004301899654589373,6972.480466363089,56600.05873882586,58.999641340751225,33496.13749237394,64897.135031139595,0.1091799829195354,0.08753054221825184,0.0593710751628273,0.006981092734482502,55597.057984103354,14175.11665282839,0.0,2363.43031706603
2019-04-04 19:00:00,14842.294560261129,0.004299262845702269,6972.480525349656,56600.05925725621,58.99964272688893,33496.13749565026,64897.135033366096,0.11351347647455093,0.08900043120961923,0.059212450919851396,0.006979381940699714,57124.99244073174,14227.985759453328,0.0,0.0
2019-04-04 20:00:00,8527.620621657561,0.004297348881640611,6972.4806290601255,56600.05946701346,58.999640044665654,33496.137490674504,64897.13500251737,0.11393713125254405,0.09084443639151592,0.05865550407531165,0.006977582410497212,56100.312653294524,14289.034712479239,0.0,0.0
2019-04-04 21:00:00,1531.6397021950256,0.004093286557038138,6972.480705251688,56600.05931313358,58.999643434986915,33496.13728971355,64897.13485295551,0.11180178785163503,0.09026178095520607,0.05738704810206968,0.006969413079861134,53430.112639406456,14356.862814509204,0.0,0.0
2019-04-04 22:00:00,1444.3422310997091,0.003732080785038442,6972.478815811624,56600.049553673365,58.99964345724586,33496.136690065796,64897.13264353602,0.1015141275475035,0.08505979439975467,0.05302142604667462,0.006901062107513284,50727.64351354245,14416.903124976745,0.0,0.0
2019-04-04 23:00:00,1365.677499555866,0.0037288015964706493,6972.477612815143,55474.73457755413,58.999643571881414,33496.13602956162,64897.13120488973,0.0963411471457136,0.08203253808224446,0.051816625490067075,0.006886466510693455,46919.60785464444,14473.83298562854,0.0,0.0
2019-04-05 00:00:00,1316.0908595025942,0.003586186391803629,6972.478363814742,56600.03896453641,58.99964373363407,33496.13551854588,64897.13256096717,0.0919447022437303,0.08132119550629022,0.049839757176499536,0.006860433106658412,44432.66140594124,14518.572338099748,0.0,0.0
2019-04-05 01:00:00,1291.4892780839773,0.0035475604698385014,6972.477686150832,56598.45495666551,58.99964344105492,33496.135556491005,64897.13138317583,0.08763052664883915,0.08207377431826265,0.048398821167708724,0.006859712755738674,43914.728620697984,14552.179615317658,0.0,0.0
2019-04-05 02:00:00,1287.59697467217,0.003725808786568903,6972.477793056592,55842.40566656601,58.999643791539775,33496.136033623574,64897.13120600467,0.08443482368876275,0.08164517118368811,0.04767434224669863,0.006883929910102354,43669.35579209536,14581.04966315365,0.0,0.0
2019-04-05 03:00:00,1312.8206158040682,0.003739036893267115,6661.585364132174,54597.61090410796,58.999643406456,33496.13670763378,64897.069956347725,0.08047648016434943,0.07707399288670118,0.046197855469903806,0.0068984735372929085,45320.36520197936,14605.40025608988,0.0,0.0
2019-04-05 04:00:00,9141.189132105726,0.004303723660429433,6972.478814156093,55056.97088932305,58.99964268965164,33496.13751622907,64897.13169626915,0.08962776885671084,0.07869408753991149,0.0492503877272686,0.00698429134102592,48381.9450387878,14629.495411306034,0.0,0.0
2019-04-05 05:00:00,10573.368363652322,0.004305230711526969,6972.479581830699,56600.055050460716,58.99964259737375,33496.13750996212,64897.13307697235,0.09205915139586722,0.07957511178179864,0.04974791261154499,0.007021151788485275,51095.120431991825,14646.25206238635,3.751972664822917,6966.699515831637
2019-04-05 06:00:00,6814.523989591857,0.004278731140717327,6972.480968228884,56600.00292438498,58.999618191205286,33496.13756112711,64897.13501711946,0.09343366317385216,0.08204470276298176,0.051050562540920205,0.007029450129125146,53333.71193437064,14662.911113567514,88.7338980853732,60484.684969151815
2019-04-05 07:00:00,51.04764514866165,0.0034884875579257804,6972.478986704046,55727.37978290407,58.99960208335556,33496.13657665739,64897.13345986236,0.09045015595374059,0.08265218358272544,0.05126415239565657,0.0068728261194461356,53370.36776005464,14674.618935208415,1964.5927617842601,97566.53002425181
2019-04-05 08:00:00,0.16757684408607096,0.002319094887824613,6972.470429742763,55439.97013082896,58.99951731186541,33496.1312837011,64897.12589219051,0.08486480920440434,0.0794566826799529,0.049893115259263904,0.0064253587765009425,49374.27314528592,14691.337835748589,3830.070338887549,114033.51849012206
2019-04-05 09:00:00,0.16683936295311827,0.0023194267455033286,6964.461773730721,55405.70541702479,58.99952362298524,33496.13142442093,64897.12585728703,0.08335969848391622,0.07725684570457474,0.048592976986100093,0.006420172554001493,50821.72119870796,14712.48508487329,4785.704063041877,118078.72679084334
