carrier,marginal_cost [€ / MWh]
CCGT,48.80787578977965
OCGT,58.32421829489393
biomass,16.0739100422265
coal,30.185513518170506
geothermal,0.010342253208940244
lignite,12.800560606963286
nuclear,14.023276658474416
offwind-ac,0.025144375451971367
offwind-dc,0.0250453557752023
offwind-float,0.025048087412466828
oil,156.74359685444722
onwind,0.025037134184846602
ror,0.009956297673293374
solar,0.020025232293772684
solar-hsat,0.02012159379648919
